k,MyResults,BetterResults
1,94.41,94.41
2,91.14,91.52
3,89.98,92.87
4,87.86,94.41
5,85.55,94.41
6,82.85,92.87
7,85.93,93.06
8,83.43,91.33
9,85.74,92.68
10,87.48,93.83
11,84.78,89.79
12,86.32,90.75
13,84.97,89.4
14,85.93,90.17
15,88.25,90.56
16,85.36,88.05
17,84.39,87.28
18,85.93,88.25
19,87.28,88.82
20,85.74,88.44
21,83.43,85.36
22,85.74,87.09
23,88.82,90.56
24,88.44,89.79
25,89.21,89.98
26,87.67,88.44
27,88.44,88.82
28,88.63,89.02
29,86.71,87.86
30,85.36,85.74
31,85.55,85.74
32,86.32,86.51
33,86.32,86.71
34,86.71,86.51
35,84.59,84.59
36,84.97,85.55
37,86.32,86.32
38,87.67,87.28
39,85.36,85.16
40,88.05,88.63
41,83.24,83.82
42,86.71,86.9
43,85.55,85.93
44,86.9,87.28
45,83.82,84.01
46,84.97,84.78
47,86.9,87.28
48,86.9,86.9
49,87.28,87.67
50,87.28,87.28
51,87.48,87.67
52,87.67,87.86
53,86.32,86.32
54,86.71,86.51
55,83.43,83.24
56,85.36,85.74
57,86.51,86.51
58,88.63,88.63
59,87.28,87.28
60,87.48,87.48
61,88.05,88.05
62,84.2,84.2
63,85.93,86.13
64,88.82,88.82
65,84.97,84.78
66,87.67,87.48
67,88.44,88.44
68,85.74,85.55
69,87.28,87.09
70,85.55,85.74
71,86.32,86.13
72,87.86,87.86
73,89.02,89.02
74,84.97,85.16
75,88.63,88.25
76,88.05,88.05
77,85.74,85.74
78,82.85,83.04
79,87.09,87.09
80,85.55,85.36
81,85.16,85.36
82,81.7,81.5
83,82.47,82.47
84,85.74,85.74
85,82.66,83.04
86,84.39,84.59
87,85.16,85.16
88,84.59,84.59
89,83.24,83.43
90,87.28,87.09
91,85.16,84.97
92,84.97,85.16
93,84.39,84.78
94,83.04,83.24
95,87.86,88.05
96,83.82,83.62
97,84.39,84.78
98,81.89,81.89
99,85.55,85.74
100,87.09,87.09
101,85.55,85.36
102,87.86,88.05
103,87.48,87.48
104,85.74,85.74
105,86.51,86.51
